Time(s);Average Density;Relative Energy;Maximal Velocity
0.582996;1.000937;393.750000;11.633018
0.583996;1.000838;388.750000;11.656578
0.584996;1.000961;378.250000;11.764291
0.585996;1.000955;384.750000;11.893819
0.586996;1.000950;404.750000;12.050255
0.587996;1.000818;411.000000;12.184050
0.588996;1.000937;404.750000;12.318666
0.589996;1.001043;407.750000;12.382512
0.590996;1.000889;410.750000;12.371907
0.591996;1.001020;409.750000;12.361110
0.592996;1.001017;414.250000;12.350122
0.593996;1.000991;439.000000;12.338969
0.594996;1.000879;452.500000;12.353689
0.595996;1.000895;447.500000;12.384476
0.596996;1.000956;444.000000;12.410442
0.597996;1.000857;448.500000;12.412851
0.598996;1.000849;449.000000;12.399205
0.599996;1.000887;441.750000;12.385424
0.600996;1.000881;436.500000;12.371515
0.601996;1.000866;436.000000;12.357476
0.602996;1.000857;435.500000;12.343290
0.603996;1.000815;434.250000;12.328961
0.604996;1.000785;440.250000;12.314496
0.605996;1.000757;439.250000;12.299898
0.606996;1.000756;424.250000;12.285175
0.607996;1.000892;411.000000;12.270330
0.608996;1.000954;410.000000;12.255403
0.609996;1.000835;425.000000;12.240421
0.610996;1.000726;427.500000;12.225385
0.611996;1.000838;418.500000;12.210263
0.612996;1.000852;416.000000;12.209654
0.613996;1.000787;419.250000;12.387531
0.614996;1.000743;428.500000;12.652152
0.615996;1.000698;422.750000;12.859349
0.616996;1.000738;411.000000;12.892628
0.617996;1.000692;405.250000;12.870715
0.618996;1.000680;410.500000;12.848789
0.619996;1.000620;410.500000;12.826834
0.620996;1.000639;403.250000;12.808813
0.621996;1.000697;401.500000;12.795531
0.622996;1.000731;397.250000;12.782809
0.623996;1.000736;390.750000;12.766398
0.624996;1.000776;386.250000;12.746060
0.625996;1.000649;387.250000;12.725666
0.626996;1.000670;391.000000;12.705219
0.627995;1.000640;391.500000;12.684727
0.628995;1.000613;390.250000;12.664198
0.629995;1.000618;388.750000;12.643634
0.630995;1.000646;384.750000;12.623042
0.631995;1.000645;382.500000;12.602429
0.632995;1.000556;385.250000;12.581798
0.633995;1.000492;384.000000;12.561154
0.634995;1.000531;372.500000;12.553969
0.635995;1.000640;364.250000;12.558564
0.636995;1.000672;360.250000;12.561946
0.637995;1.000622;358.500000;12.553188
0.638995;1.000724;361.500000;12.530505
0.639995;1.000656;367.750000;12.508060
0.640995;1.000466;369.500000;12.485849
0.641995;1.000585;364.000000;12.463794
0.642995;1.000608;361.750000;12.441866
0.643995;1.000611;363.500000;12.420065
0.644995;1.000618;362.500000;12.398391
0.645995;1.000492;357.750000;12.376842
0.646995;1.000554;353.500000;12.355422
0.647995;1.000603;352.500000;12.334127
0.648995;1.000596;348.000000;12.312959
0.649995;1.000595;347.500000;12.291918
0.650995;1.000535;344.000000;11.749434
0.651995;1.000620;338.250000;12.122354
0.652995;1.000765;339.250000;12.875325
0.653995;1.000889;350.750000;13.480292
0.654995;1.000687;359.500000;13.706310
0.655995;1.000458;360.750000;13.701844
0.656995;1.000495;353.250000;13.697348
0.657995;1.000455;350.750000;13.694765
0.658995;1.000529;350.000000;13.709731
0.659995;1.000474;350.000000;13.732285
0.660995;1.000414;350.000000;13.748219
0.661995;1.000339;348.750000;13.746775
0.662995;1.000388;343.250000;13.754443
0.663995;1.000603;338.000000;13.773874
0.664995;1.000738;342.250000;13.794168
0.665995;1.000661;358.750000;13.804742
0.666995;1.000498;370.500000;13.802104
0.667995;1.000505;368.250000;13.799414
0.668995;1.000718;362.750000;13.796675
0.669995;1.000515;365.250000;13.793884
0.670995;1.000485;367.250000;13.791046
0.671995;1.000523;363.250000;13.788160
0.672995;1.000444;362.000000;13.785231
0.673995;1.000497;357.750000;13.782261
0.674995;1.000612;354.750000;13.779255
0.675995;1.000507;355.500000;13.776214
0.676995;1.000474;354.000000;13.785661
0.677995;1.000497;352.500000;13.795642
0.678995;1.000515;353.500000;13.793268
0.679995;1.000486;355.000000;13.790946
0.680995;1.000318;354.500000;13.788586
0.681995;1.000404;349.000000;13.786187
0.682995;1.000590;344.750000;13.783751
0.683995;1.000601;344.500000;13.781282
0.684995;1.000514;343.500000;13.778778
0.685995;1.000455;345.750000;13.776243
0.686995;1.000351;344.250000;13.773680
0.687995;1.000336;343.000000;13.771088
0.688995;1.000393;340.250000;13.768469
0.689995;1.000507;336.500000;13.765826
0.690995;1.000673;335.500000;13.763162
0.691995;1.000458;337.500000;13.760474
